amount,name,description,type_tax_use
-0.04,Retencion IVA Fletes 4%,Retencion IVA Fletes 4%,purchase
-0.1,Retencion IVA Arrendamiento 10%,Retencion IVA Arrendamiento 10%,purchase
0.1,Ret.ISR. 10% Arrendamiento,Ret.ISR. 10% Arrendamiento,purchase
0.15,Retencion 15%  Iva Pitex,Retencion 15%  Iva Pitex,purchase
0.1,Ret ISR 10 % Honorarios,Ret ISR 10 % Honorarios,purchase
0.16,Retencion 16%  Iva Pitex,Retencion 16%  Iva Pitex,purchase
-0.1067,Retencion IVA Arrendamiento 10.67%,Retencion IVA Arrendamiento 10.6,purchase
-0.1067,Retención IVA Honorarios 10.67%,Retención IVA Honorarios 10.67%,purchase
0.0,IVA(0%) Ventas,IVA(0%) Ventas,sale
0.11,IVA(11.0%) Compras,IVA(11.0%) Compras,purchase
0.11,IVA(11.0%) Ventas,IVA(11.0%) Ventas,sale
0.16,IVA - 16% VENTAS,IVA - 16% VENTAS,sale
0.0,IVA(0%) Compras,IVA(0%) Compras,purchase
0.16,IVA - 16% COMPRAS,IVA - 16% COMPRAS,purchase
